,value
max_speed_kmh,300.0
spatial_radius_km,0.3
bin_len,1.0
tdf.shape[0],6641.0
f_tdf.shape[0],6464.0
fc_tdf.shape[0],2541.0
fcu_tdf.shape[0],2538.0
curr_ocp,0.04595886807128314
target_ocp,0.008807170954948458
new_ocp,0.008787587532610188
n_train,384.0
n_test,1625.0
n_dims,13.0
mean_lat,47.53935044665781
mean_long,-122.19923610246023
std_lat,0.0772427203537695
std_long,0.07473811595017153
init_lengthscale,57.045691906005224
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-332.3029860593854
m,43.0
bic,920.483601880043
gp_runtime,33.78844976425171
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
