,value
max_speed_kmh,300.0
spatial_radius_km,0.3
bin_len,1.0
tdf.shape[0],2620.0
f_tdf.shape[0],2558.0
fc_tdf.shape[0],226.0
fcu_tdf.shape[0],225.0
curr_ocp,0.004604005232967697
target_ocp,0.004413968087699869
new_ocp,0.00440273724464124
n_train,175.0
n_test,8.0
n_dims,13.0
mean_lat,47.183222589754465
mean_long,-122.20390468366072
std_lat,0.03668007171832838
std_long,0.03686747864315619
init_lengthscale,114.21551724137932
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-7.036867456395328
m,43.0
bic,236.15953179150176
gp_runtime,8.133825540542603
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
