,value
max_speed_kmh,300.0
spatial_radius_km,0.3
bin_len,1.0
tdf.shape[0],7500.0
f_tdf.shape[0],7259.0
fc_tdf.shape[0],1458.0
fcu_tdf.shape[0],1453.0
curr_ocp,0.026823134953897737
target_ocp,0.019092716128532257
new_ocp,0.01907523617498471
n_train,842.0
n_test,342.0
n_dims,13.0
mean_lat,47.417095345385334
mean_long,-122.26562495275758
std_lat,0.18007871427696673
std_long,0.27011089552711043
init_lengthscale,26.24256837098692
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,309.81136133991697
m,43.0
bic,-329.9841820674139
gp_runtime,67.6632432937622
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
