,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],10753.0
f_tdf.shape[0],10720.0
fc_tdf.shape[0],7543.0
fcu_tdf.shape[0],3376.0
curr_ocp,1.0
target_ocp,0.9
new_ocp,0.8888888888888888
n_train,3068.0
n_test,308.0
n_dims,13.0
mean_lat,47.89554517284607
mean_long,-122.23051887514578
std_lat,0.037624809094494865
std_long,0.02014938555007379
init_lengthscale,14.084610368438213
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-3231.6357159355507
m,23.0
bic,6647.933398608306
gp_runtime,357.94713830947876
ses_smoothing_level,0.9931544487714816
holt_smoothing_level_lat,0.9931591619998245
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9999999790427153
holt_smoothing_slope_lon,3.07622538724564e-08
holt_damping_slope_lat,0.80000190045303
holt_damping_slope_lon,0.9759064139180497
es_seasonal_periods,24.0
es_smoothing_level_lat,0.992807478691523
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.9999999847890848
es_smoothing_slope_lon,1.0863822563960351e-09
es_damping_slope_lat,0.8000156632507518
es_damping_slope_lon,0.8758649353476342
arima_order,"(2, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
