,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],10493.0
f_tdf.shape[0],10053.0
fc_tdf.shape[0],1309.0
fcu_tdf.shape[0],1306.0
curr_ocp,1.0
target_ocp,0.4
new_ocp,0.2857142857142857
n_train,214.0
n_test,858.0
n_dims,13.0
mean_lat,47.13694190248521
mean_long,-122.45466323404644
std_lat,0.03261817506121106
std_long,0.13432161611869448
init_lengthscale,165.55399061032864
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-204.39709773814073
m,23.0
bic,532.211643821784
gp_runtime,1.8698945045471191
ses_smoothing_level,0.9999999850988127
holt_smoothing_level_lat,0.9999999850988387
holt_smoothing_slope_lat,0.6265553972502892
holt_smoothing_level_lon,0.6779939951436562
holt_smoothing_slope_lon,0.6779939951436562
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.9180065889448054
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988357
es_smoothing_slope_lat,0.6082265430334816
es_smoothing_level_lon,0.6890237189172373
es_smoothing_slope_lon,0.6890237189172372
es_damping_slope_lat,0.8
es_damping_slope_lon,0.9216969695347189
arima_order,"(1, 1, 0)"
sarimax_order,
sarimax_seasonal_order,
