,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],11993.0
f_tdf.shape[0],11802.0
fc_tdf.shape[0],2264.0
fcu_tdf.shape[0],2252.0
curr_ocp,1.0
target_ocp,0.6
new_ocp,0.5714285714285714
n_train,889.0
n_test,1038.0
n_dims,13.0
mean_lat,47.57883534446259
mean_long,-122.20074741094585
std_lat,0.019193707654425633
std_long,0.058352252884368336
init_lengthscale,39.336711711711715
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1260.1289400381077
m,23.0
bic,2676.4301164930353
gp_runtime,8.522444248199463
ses_smoothing_level,0.9999999850975151
holt_smoothing_level_lat,0.9999999850979692
holt_smoothing_slope_lat,4.592249159533994e-14
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.6653974260995997
holt_damping_slope_lat,0.8583560330748718
holt_damping_slope_lon,0.8000000000000002
es_seasonal_periods,24.0
es_smoothing_level_lat,0.999999982795716
es_smoothing_slope_lat,0.024600742465621064
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.6762185859438177
es_damping_slope_lat,0.8000010324690674
es_damping_slope_lon,0.8000000000000035
arima_order,"(2, 0, 0)"
sarimax_order,
sarimax_seasonal_order,
