,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],5895.0
f_tdf.shape[0],5815.0
fc_tdf.shape[0],373.0
fcu_tdf.shape[0],360.0
curr_ocp,1.0
target_ocp,0.9
new_ocp,0.8333333333333334
n_train,189.0
n_test,126.0
n_dims,11.0
mean_lat,47.785119297601995
mean_long,-122.21754142228218
std_lat,0.07909434438594609
std_long,0.04776631824495447
init_lengthscale,156.87234042553192
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-267.15254430920953
m,21.0
bic,644.3817759346715
gp_runtime,1.3562583923339844
ses_smoothing_level,0.9999999850980854
holt_smoothing_level_lat,0.9295783773642935
holt_smoothing_slope_lat,0.9295783773642935
holt_smoothing_level_lon,0.9999999850988233
holt_smoothing_slope_lon,0.06100288951112033
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.800000000000016
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.7507569787069538
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.08249972319065169
es_damping_slope_lat,0.8000000000000096
es_damping_slope_lon,0.8000000000000899
arima_order,"(1, 1, 2)"
sarimax_order,
sarimax_seasonal_order,
