,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],6922.0
f_tdf.shape[0],6652.0
fc_tdf.shape[0],1637.0
fcu_tdf.shape[0],1601.0
curr_ocp,1.0
target_ocp,0.5
new_ocp,0.5
n_train,634.0
n_test,763.0
n_dims,13.0
mean_lat,47.633918269011396
mean_long,-122.19847918702712
std_lat,0.1257468934353944
std_long,0.28869812428200703
init_lengthscale,63.695892575039494
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-794.9594903202089
m,23.0
bic,1738.3161065924742
gp_runtime,5.169583082199097
ses_smoothing_level,0.9999999850988299
holt_smoothing_level_lat,0.9544664874096037
holt_smoothing_slope_lat,0.5083657778791499
holt_smoothing_level_lon,0.9600201478003787
holt_smoothing_slope_lon,5.30502022979259e-14
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8627936799983744
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9547540987162927
es_smoothing_slope_lat,0.5217510251320088
es_smoothing_level_lon,0.9636282238707506
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8
es_damping_slope_lon,0.8023937933622503
arima_order,"(2, 1, 2)"
sarimax_order,
sarimax_seasonal_order,
