,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],5107.0
f_tdf.shape[0],5103.0
fc_tdf.shape[0],3693.0
fcu_tdf.shape[0],1638.0
curr_ocp,1.0
target_ocp,0.8
new_ocp,0.8
n_train,1180.0
n_test,458.0
n_dims,13.0
mean_lat,47.90000745034407
mean_long,-122.22693796646682
std_lat,0.025645825329152393
std_long,0.011489699204522513
init_lengthscale,18.882103477523327
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-832.8130329229197
m,43.0
bic,1969.7766636966069
gp_runtime,119.28191089630127
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
