,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],2576.0
f_tdf.shape[0],2509.0
fc_tdf.shape[0],935.0
fcu_tdf.shape[0],935.0
curr_ocp,1.0
target_ocp,0.9
new_ocp,0.6666666666666666
n_train,280.0
n_test,506.0
n_dims,13.0
mean_lat,47.294330225174384
mean_long,-122.33477895280411
std_lat,0.07161301993097126
std_long,0.05529023517402727
init_lengthscale,52.77598566308244
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-47.13575850957881
m,43.0
bic,336.56746995543534
gp_runtime,20.3820698261261
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
