,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],4049.0
f_tdf.shape[0],3912.0
fc_tdf.shape[0],1499.0
fcu_tdf.shape[0],1400.0
curr_ocp,1.0
target_ocp,0.7
new_ocp,0.6666666666666666
n_train,696.0
n_test,437.0
n_dims,13.0
mean_lat,47.932064913793106
mean_long,-122.13251998419541
std_lat,0.08609553848512908
std_long,0.05748480356425139
init_lengthscale,21.74244604316547
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-6.267069216007827
m,43.0
bic,293.9841738263957
gp_runtime,52.48101282119751
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
