,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],5695.0
f_tdf.shape[0],5483.0
fc_tdf.shape[0],2306.0
fcu_tdf.shape[0],2303.0
curr_ocp,1.0
target_ocp,0.7
new_ocp,0.6
n_train,1044.0
n_test,837.0
n_dims,13.0
mean_lat,47.30528575904676
mean_long,-122.07631852405534
std_lat,0.11544907753862656
std_long,0.10007704094930896
init_lengthscale,20.95589645254075
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,270.0422115842166
m,43.0
bic,-241.1993881254021
gp_runtime,105.50761198997498
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
