,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],3278.0
f_tdf.shape[0],3112.0
fc_tdf.shape[0],329.0
fcu_tdf.shape[0],329.0
curr_ocp,1.0
target_ocp,0.6
new_ocp,0.5
n_train,116.0
n_test,169.0
n_dims,13.0
mean_lat,47.15261675358634
mean_long,-122.39625778899516
std_lat,0.0068144109128032895
std_long,0.026037053618141043
init_lengthscale,171.94347826086957
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-105.50191126145515
m,43.0
bic,415.40820074048395
gp_runtime,4.162899732589722
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
