,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],2150.0
f_tdf.shape[0],2097.0
fc_tdf.shape[0],415.0
fcu_tdf.shape[0],412.0
curr_ocp,1.0
target_ocp,0.6
new_ocp,0.6
n_train,132.0
n_test,206.0
n_dims,13.0
mean_lat,47.30272948866595
mean_long,-122.53888849849076
std_lat,0.1385730610252552
std_long,0.08810332805652603
init_lengthscale,167.9083969465649
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,96.87445042792567
m,43.0
bic,16.211581815362592
gp_runtime,4.346171617507935
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
