,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],3121.0
f_tdf.shape[0],3047.0
fc_tdf.shape[0],739.0
fcu_tdf.shape[0],739.0
curr_ocp,1.0
target_ocp,0.8
new_ocp,0.8
n_train,572.0
n_test,38.0
n_dims,13.0
mean_lat,47.43066307450728
mean_long,-122.22982262353175
std_lat,0.034331287864321984
std_long,0.060020318116846376
init_lengthscale,37.20315236427321
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-302.7263340864076
m,43.0
bic,878.4656448021465
gp_runtime,29.508178234100342
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
