,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],7077.0
f_tdf.shape[0],7001.0
fc_tdf.shape[0],1312.0
fcu_tdf.shape[0],1311.0
curr_ocp,1.0
target_ocp,0.6
new_ocp,0.6
n_train,555.0
n_test,423.0
n_dims,13.0
mean_lat,47.174380693200305
mean_long,-122.32329660855079
std_lat,0.07148801075107067
std_long,0.061543691820614164
init_lengthscale,38.32400722021661
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-129.16140353898777
m,43.0
bic,530.0384359690722
gp_runtime,34.93636608123779
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
