,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],9002.0
f_tdf.shape[0],8855.0
fc_tdf.shape[0],571.0
fcu_tdf.shape[0],561.0
curr_ocp,1.0
target_ocp,0.5
new_ocp,0.5
n_train,199.0
n_test,298.0
n_dims,13.0
mean_lat,47.590369201959014
mean_long,-122.1055225805355
std_lat,0.051445147144605144
std_long,0.12201876616206048
init_lengthscale,151.71212121212122
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-256.0685317610888
m,23.0
bic,633.883074490841
gp_runtime,1.0623438358306885
ses_smoothing_level,0.99999998509882
holt_smoothing_level_lat,0.9999999850988386
holt_smoothing_slope_lat,0.16818885909318584
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.2620381103028351
holt_damping_slope_lat,0.8485792961866638
holt_damping_slope_lon,0.9025266632758068
es_seasonal_periods,24.0
es_smoothing_level_lat,0.999999985098779
es_smoothing_slope_lat,0.1823194983233637
es_smoothing_level_lon,0.999999985098838
es_smoothing_slope_lon,0.2916659479611923
es_damping_slope_lat,0.8514981163415725
es_damping_slope_lon,0.8994782372892717
arima_order,"(2, 1, 0)"
sarimax_order,
sarimax_seasonal_order,
