,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],9687.0
f_tdf.shape[0],9578.0
fc_tdf.shape[0],2028.0
fcu_tdf.shape[0],1902.0
curr_ocp,1.0
target_ocp,0.9
new_ocp,0.75
n_train,1090.0
n_test,412.0
n_dims,13.0
mean_lat,47.866334062651774
mean_long,-122.11239820893078
std_lat,0.08429953275998432
std_long,0.09866972663560337
init_lengthscale,18.132231404958677
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-556.303289775411
m,43.0
bic,1413.3456974854191
gp_runtime,104.11057424545288
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
