,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],7932.0
f_tdf.shape[0],7762.0
fc_tdf.shape[0],1159.0
fcu_tdf.shape[0],1158.0
curr_ocp,1.0
target_ocp,0.5
new_ocp,0.5
n_train,346.0
n_test,562.0
n_dims,13.0
mean_lat,47.36875622622664
mean_long,-122.23381544533564
std_lat,0.036995132047145836
std_long,0.05206426936996515
init_lengthscale,51.16811594202898
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,100.04990211947859
m,43.0
bic,51.29706308852499
gp_runtime,23.456677436828613
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
