,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],5242.0
f_tdf.shape[0],5134.0
fc_tdf.shape[0],1849.0
fcu_tdf.shape[0],1846.0
curr_ocp,0.6
target_ocp,0.2
new_ocp,0.19642857142857142
n_train,396.0
n_test,1077.0
n_dims,13.0
mean_lat,47.189917261482016
mean_long,-122.24959009075125
std_lat,0.03697794854904511
std_long,0.10523535542880619
init_lengthscale,100.73164556962026
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-561.6299560785191
m,23.0
bic,1260.8324390158912
gp_runtime,3.794466972351074
ses_smoothing_level,0.9999999850984033
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.5278041523864389
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.5101528953170403
holt_damping_slope_lat,0.8000000000000004
holt_damping_slope_lon,0.8615182161725263
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988018
es_smoothing_slope_lat,0.526039167034803
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.499408783643445
es_damping_slope_lat,0.8
es_damping_slope_lon,0.8708592047871933
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
