,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],16040.0
f_tdf.shape[0],15568.0
fc_tdf.shape[0],7188.0
fcu_tdf.shape[0],7161.0
curr_ocp,1.0
target_ocp,0.8
new_ocp,0.8
n_train,4435.0
n_test,1328.0
n_dims,13.0
mean_lat,47.873793197890706
mean_long,-122.12862406964632
std_lat,0.11792325565565578
std_long,0.03907119441896929
init_lengthscale,9.740753270184934
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-6291.093137405127
m,23.0
bic,12775.32378138936
gp_runtime,987.7954432964325
ses_smoothing_level,0.9999999850964433
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.12081559828790332
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.2562695097392207
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8000000000001275
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988387
es_smoothing_slope_lat,0.12138962637793044
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.25762735182280816
es_damping_slope_lat,0.8
es_damping_slope_lon,0.8000000000090889
arima_order,"(2, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
