,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],9268.0
f_tdf.shape[0],9147.0
fc_tdf.shape[0],2363.0
fcu_tdf.shape[0],2354.0
curr_ocp,0.8571428571428571
target_ocp,0.7
new_ocp,0.6785714285714286
n_train,1516.0
n_test,371.0
n_dims,13.0
mean_lat,47.15017131424802
mean_long,-122.43347937453825
std_lat,0.08667930336455704
std_long,0.08317004513746622
init_lengthscale,12.854125412541254
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2138.3833456871234
m,23.0
bic,4445.2147943969
gp_runtime,25.40047597885132
ses_smoothing_level,0.9999999850988176
holt_smoothing_level_lat,0.9608726431311576
holt_smoothing_slope_lat,0.1200087565791287
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.49781498887557685
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8000000000000005
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9625206011116212
es_smoothing_slope_lat,0.12111026595617323
es_smoothing_level_lon,0.999999985098838
es_smoothing_slope_lon,0.5003417049662436
es_damping_slope_lat,0.8000000014295554
es_damping_slope_lon,0.8
arima_order,"(1, 1, 1)"
sarimax_order,
sarimax_seasonal_order,
