,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],11301.0
f_tdf.shape[0],10995.0
fc_tdf.shape[0],3406.0
fcu_tdf.shape[0],3393.0
curr_ocp,0.9107142857142857
target_ocp,0.7
new_ocp,0.6981132075471698
n_train,1982.0
n_test,832.0
n_dims,13.0
mean_lat,47.78384185941651
mean_long,-122.22647580427115
std_lat,0.03344877772260484
std_long,0.021367315313658507
init_lengthscale,19.13881877839475
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2725.893713829686
m,23.0
bic,5626.40024710184
gp_runtime,79.76214599609375
ses_smoothing_level,0.9999999850336293
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.1655292327087552
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.35073445081855636
holt_damping_slope_lat,0.8000000000016305
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.16700671701320155
es_smoothing_level_lon,0.9999999850987662
es_smoothing_slope_lon,0.3534791103180649
es_damping_slope_lat,0.8000000000019556
es_damping_slope_lon,0.8
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
