,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],18330.0
f_tdf.shape[0],17610.0
fc_tdf.shape[0],5507.0
fcu_tdf.shape[0],5493.0
curr_ocp,0.8833333333333333
target_ocp,0.2
new_ocp,0.18
n_train,424.0
n_test,3847.0
n_dims,13.0
mean_lat,47.33650655056705
mean_long,-122.56253430025382
std_lat,0.047112515456734935
std_long,0.08122061018732854
init_lengthscale,84.91489361702128
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-600.3263923074131
m,23.0
bic,1339.7966540851612
gp_runtime,2.2831811904907227
ses_smoothing_level,0.9999999850985803
holt_smoothing_level_lat,0.9999999850988383
holt_smoothing_slope_lat,0.4188579329948681
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.446775163686095
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.4279315805153859
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.4418254657360164
es_damping_slope_lat,0.8000000000000022
es_damping_slope_lon,0.8000000000000002
arima_order,"(2, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
