,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],7644.0
f_tdf.shape[0],7387.0
fc_tdf.shape[0],1541.0
fcu_tdf.shape[0],1538.0
curr_ocp,0.9032258064516129
target_ocp,0.8
new_ocp,0.7741935483870968
n_train,1059.0
n_test,150.0
n_dims,13.0
mean_lat,48.11843686974741
mean_long,-122.14575722553705
std_lat,0.07949835135276498
std_long,0.049144770533588
init_lengthscale,20.66209829867675
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-321.65458385469844
m,43.0
bic,942.8076225702573
gp_runtime,98.92194080352783
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
