,value
max_speed_kmh,200
spatial_radius_km,0.3
bin_len,1440
tdf.shape[0],6527
f_tdf.shape[0],6187
fc_tdf.shape[0],1886
fcu_tdf.shape[0],1846
curr_ocp,0.966666667
target_ocp,0.7
new_ocp,0.7
n_train,1208
n_test,369
n_dims,13
mean_lat,47.63603887
mean_long,-122.0682782
std_lat,0.047313908
std_long,0.102799749
init_lengthscale,35.3918807
init_period_len_1,1440
init_period_len_2,10080
log_ll,-1374.848229
m,23
bic,2912.92105
gp_runtime,20.44570112
ses_smoothing_level,0.999999985
holt_smoothing_level_lat,0.999999985
holt_smoothing_slope_lat,2.26E-11
holt_smoothing_level_lon,0.999999985
holt_smoothing_slope_lon,0.198245369
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8
es_seasonal_periods,24
es_smoothing_level_lat,0.999999985
es_smoothing_slope_lat,7.86E-14
es_smoothing_level_lon,0.999999985
es_smoothing_slope_lon,0.19758936
es_damping_slope_lat,0.8
es_damping_slope_lon,0.8
arima_order,"(1, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
