,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],3278.0
f_tdf.shape[0],3112.0
fc_tdf.shape[0],329.0
fcu_tdf.shape[0],329.0
curr_ocp,0.7857142857142857
target_ocp,0.5
new_ocp,0.47368421052631576
n_train,151.0
n_test,134.0
n_dims,13.0
mean_lat,47.153519909781146
mean_long,-122.38527328254345
std_lat,0.010929156590118545
std_long,0.038131817969806886
init_lengthscale,88.72666666666667
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-71.55191728178745
m,43.0
bic,358.84686754661664
gp_runtime,7.327994108200073
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
