,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],5313.0
f_tdf.shape[0],5251.0
fc_tdf.shape[0],202.0
fcu_tdf.shape[0],201.0
curr_ocp,0.32142857142857145
target_ocp,0.2
new_ocp,0.18518518518518517
n_train,75.0
n_test,68.0
n_dims,12.0
mean_lat,47.09833638757812
mean_long,-122.36962469999999
std_lat,0.010993219364176233
std_long,0.037920097681961966
init_lengthscale,256.9864864864865
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-29.50709777582884
m,41.0
bic,236.0312082066464
gp_runtime,3.5071470737457275
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
