,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],9969.0
f_tdf.shape[0],9843.0
fc_tdf.shape[0],1608.0
fcu_tdf.shape[0],1594.0
curr_ocp,0.8709677419354839
target_ocp,0.4
new_ocp,0.3793103448275862
n_train,562.0
n_test,599.0
n_dims,13.0
mean_lat,47.85120284843142
mean_long,-122.18174321203293
std_lat,0.2237142225982574
std_long,0.029306324656513363
init_lengthscale,36.66131907308378
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-0.2370292029055463
m,43.0
bic,272.7286379512398
gp_runtime,36.49372839927673
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
