,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,1440.0
tdf.shape[0],2087.0
f_tdf.shape[0],2076.0
fc_tdf.shape[0],561.0
fcu_tdf.shape[0],561.0
curr_ocp,0.4666666666666667
target_ocp,0.3
new_ocp,0.2916666666666667
n_train,202.0
n_test,259.0
n_dims,12.0
mean_lat,47.85051853533271
mean_long,-122.21902151819936
std_lat,0.024182565205235776
std_long,0.05666119547427922
init_lengthscale,82.90796019900498
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,77.19967749371745
m,41.0
bic,63.23962060601451
gp_runtime,12.770617008209229
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
