,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],9553.0
f_tdf.shape[0],9429.0
fc_tdf.shape[0],1069.0
fcu_tdf.shape[0],1066.0
curr_ocp,0.09366295264623956
target_ocp,0.01106756750166711
new_ocp,0.010998758204718823
n_train,121.0
n_test,853.0
n_dims,13.0
mean_lat,47.61565344173715
mean_long,-122.31973650236635
std_lat,0.028164169101404908
std_long,0.00963867316081775
init_lengthscale,352.29583333333335
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-122.78336111060187
m,23.0
bic,355.8699047699288
gp_runtime,2.248666763305664
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9659494064341256
holt_smoothing_slope_lon,3.894060694422624e-11
holt_damping_slope_lat,0.9219413496188594
holt_damping_slope_lon,0.9269190754787208
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.8905308744287375
es_smoothing_slope_lon,5.20336200034278e-12
es_damping_slope_lat,0.9073079814427856
es_damping_slope_lon,0.9103192972767568
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
