,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],13629.0
f_tdf.shape[0],13495.0
fc_tdf.shape[0],3175.0
fcu_tdf.shape[0],3154.0
curr_ocp,0.06725910437358425
target_ocp,0.06042153801853769
new_ocp,0.06028924899808329
n_train,2263.0
n_test,279.0
n_dims,13.0
mean_lat,47.50583424722189
mean_long,-122.30026700384136
std_lat,0.19720598497942116
std_long,0.1042290995447089
init_lengthscale,19.025419982316535
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-3021.1979820547804
m,23.0
bic,6220.058236959132
gp_runtime,114.82781195640564
ses_smoothing_level,0.9999999850988296
holt_smoothing_level_lat,0.8385785565259762
holt_smoothing_slope_lat,0.3680376620439435
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.2945407095043716
holt_damping_slope_lat,0.8692226423530401
holt_damping_slope_lon,0.8000000000000004
es_seasonal_periods,24.0
es_smoothing_level_lat,0.8381696416824735
es_smoothing_slope_lat,0.3715081679922091
es_smoothing_level_lon,0.9999999850986838
es_smoothing_slope_lon,0.29686874595349216
es_damping_slope_lat,0.8690456601649807
es_damping_slope_lon,0.8
arima_order,"(2, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
