,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],6527.0
f_tdf.shape[0],6187.0
fc_tdf.shape[0],1886.0
fcu_tdf.shape[0],1846.0
curr_ocp,0.07777387640449439
target_ocp,0.00709044458242645
new_ocp,0.006994261119081779
n_train,101.0
n_test,1476.0
n_dims,13.0
mean_lat,47.625784245773964
mean_long,-122.05010537376128
std_lat,0.06526014416720519
std_long,0.13859093627946253
init_lengthscale,418.185
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-40.234945106134994
m,23.0
bic,186.61766209961894
gp_runtime,2.0401997566223145
ses_smoothing_level,0.9789555180945057
holt_smoothing_level_lat,0.9289807711813108
holt_smoothing_slope_lat,0.02619858877154668
holt_smoothing_level_lon,0.8436372824212738
holt_smoothing_slope_lon,0.08255551870729896
holt_damping_slope_lat,0.9772300991810942
holt_damping_slope_lon,0.9949999999999957
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.03344015933559742
es_smoothing_level_lon,0.8865998927996028
es_smoothing_slope_lon,0.09362826917191162
es_damping_slope_lat,0.9949999999999999
es_damping_slope_lon,0.9949999999999982
arima_order,"(0, 1, 0)"
sarimax_order,
sarimax_seasonal_order,
