,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],16625.0
f_tdf.shape[0],16070.0
fc_tdf.shape[0],2992.0
fcu_tdf.shape[0],2958.0
curr_ocp,0.09253472222222223
target_ocp,0.03605188671783016
new_ocp,0.0359375
n_train,978.0
n_test,1498.0
n_dims,13.0
mean_lat,47.4613605930982
mean_long,-122.33834046071024
std_lat,0.14994395006281006
std_long,0.23264461393531954
init_lengthscale,44.21136131013306
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1094.6872697066076
m,23.0
bic,2347.741261824016
gp_runtime,15.607249021530151
ses_smoothing_level,0.9999999850988024
holt_smoothing_level_lat,0.9999999850988385
holt_smoothing_slope_lat,0.07352926748532063
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0940859299552482
holt_damping_slope_lat,0.8000000000000002
holt_damping_slope_lon,0.800000000001164
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,4.0331059419793116e-11
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.09415965754652263
es_damping_slope_lat,0.993256755565828
es_damping_slope_lon,0.8000000000009935
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
