,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],24016.0
f_tdf.shape[0],23791.0
fc_tdf.shape[0],3872.0
fcu_tdf.shape[0],3871.0
curr_ocp,0.07924263674614306
target_ocp,0.06623901583676882
new_ocp,0.06609396914446003
n_train,2366.0
n_test,494.0
n_dims,13.0
mean_lat,47.85452663405574
mean_long,-122.2232046726901
std_lat,0.12079648926516556
std_long,0.038994206495398004
init_lengthscale,18.088372093023256
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-3333.874181846233
m,23.0
bic,6846.434352716848
gp_runtime,129.08240151405334
ses_smoothing_level,0.9999999850977569
holt_smoothing_level_lat,0.9440505948798201
holt_smoothing_slope_lat,0.2863333372819199
holt_smoothing_level_lon,0.9999999850986754
holt_smoothing_slope_lon,0.35135212177047553
holt_damping_slope_lat,0.8322866233843785
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9463690320333048
es_smoothing_slope_lat,0.28073844946667725
es_smoothing_level_lon,0.9999999850952699
es_smoothing_slope_lon,0.346057620625802
es_damping_slope_lat,0.8362517204027488
es_damping_slope_lon,0.8
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
