,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],7525.0
f_tdf.shape[0],7239.0
fc_tdf.shape[0],1903.0
fcu_tdf.shape[0],1893.0
curr_ocp,0.06524400909567955
target_ocp,0.0530095364709447
new_ocp,0.05299982508308553
n_train,1236.0
n_test,341.0
n_dims,13.0
mean_lat,47.7938456737819
mean_long,-122.27171771677477
std_lat,0.0485243059642128
std_long,0.03270118786818516
init_lengthscale,34.71417004048583
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1667.9246351455567
m,23.0
bic,3499.600889965519
gp_runtime,29.92079782485962
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.999924674154256
holt_smoothing_slope_lat,0.21669933728473578
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.062216822691574504
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.21910691914002886
es_smoothing_level_lon,0.9999999850286088
es_smoothing_slope_lon,0.06290097822509452
es_damping_slope_lat,0.8000000000011978
es_damping_slope_lon,0.8000000026733401
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
