,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],12202.0
f_tdf.shape[0],11904.0
fc_tdf.shape[0],5190.0
fcu_tdf.shape[0],4729.0
curr_ocp,0.1488768936096117
target_ocp,0.1
new_ocp,0.09987798500958689
n_train,2605.0
n_test,1371.0
n_dims,13.0
mean_lat,47.592086732801626
mean_long,-122.13501382871131
std_lat,0.07898192417873269
std_long,0.1367867333636958
init_lengthscale,16.523041474654377
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-3461.8901365531347
m,23.0
bic,7104.6795960525815
gp_runtime,211.16965794563293
ses_smoothing_level,0.999999985088431
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.1524998586753929
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,9.254249250929e-12
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.9584778111760248
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850935447
es_smoothing_slope_lat,0.1509433738463536
es_smoothing_level_lon,0.9999999850976203
es_smoothing_slope_lon,0.024625914460793083
es_damping_slope_lat,0.8
es_damping_slope_lon,0.8
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
