,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],11408.0
f_tdf.shape[0],11156.0
fc_tdf.shape[0],5021.0
fcu_tdf.shape[0],5019.0
curr_ocp,0.09280336193311153
target_ocp,0.015012692008873608
new_ocp,0.014784467402921268
n_train,428.0
n_test,3644.0
n_dims,13.0
mean_lat,47.48672859741205
mean_long,-122.2598995692908
std_lat,0.10246778706183404
std_long,0.05020094121296424
init_lengthscale,98.59953161592506
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-511.6518436384668
m,23.0
bic,1162.663520775315
gp_runtime,2.2507007122039795
ses_smoothing_level,0.8967067514705218
holt_smoothing_level_lat,0.8964747221371583
holt_smoothing_slope_lat,3.207357971573595e-11
holt_smoothing_level_lon,0.9508529228485304
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.9569094951028669
holt_damping_slope_lon,0.800000000060414
es_seasonal_periods,24.0
es_smoothing_level_lat,0.8900476572292373
es_smoothing_slope_lat,8.527076796264247e-11
es_smoothing_level_lon,0.9580576103991773
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.9740127435561252
es_damping_slope_lon,0.8000000000019225
arima_order,"(1, 0, 0)"
sarimax_order,
sarimax_seasonal_order,
