,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],5097.0
f_tdf.shape[0],5022.0
fc_tdf.shape[0],620.0
fcu_tdf.shape[0],620.0
curr_ocp,0.1350034794711204
target_ocp,0.1
new_ocp,0.09975326048642932
n_train,450.0
n_test,129.0
n_dims,13.0
mean_lat,47.620708241856555
mean_long,-122.32146448111502
std_lat,0.04441714655658923
std_long,0.009358348103087114
init_lengthscale,47.38641425389755
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-294.07572628361686
m,43.0
bic,850.8490986261014
gp_runtime,19.079450368881226
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
