,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],3475.0
f_tdf.shape[0],3241.0
fc_tdf.shape[0],147.0
fcu_tdf.shape[0],147.0
curr_ocp,0.00927487352445194
target_ocp,0.007281900730202816
new_ocp,0.007166947723440135
n_train,88.0
n_test,31.0
n_dims,12.0
mean_lat,48.15902548295455
mean_long,-122.16178664772728
std_lat,0.032336736102120886
std_long,0.04181447263155316
init_lengthscale,204.45977011494253
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,5.378803056160336
m,41.0
bic,172.8132032812858
gp_runtime,3.630880832672119
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
