,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],2724.0
f_tdf.shape[0],2544.0
fc_tdf.shape[0],226.0
fcu_tdf.shape[0],226.0
curr_ocp,0.0434936350777935
target_ocp,0.03352646227887281
new_ocp,0.03323903818953324
n_train,165.0
n_test,49.0
n_dims,13.0
mean_lat,47.552098833321494
mean_long,-122.27539453098366
std_lat,0.020079660372618307
std_long,0.01677360143326308
init_lengthscale,129.3048780487805
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-161.13992484548754
m,43.0
bic,541.8355050687001
gp_runtime,7.994791030883789
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
