,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],11132.0
f_tdf.shape[0],10744.0
fc_tdf.shape[0],3510.0
fcu_tdf.shape[0],3506.0
curr_ocp,0.14383796773086166
target_ocp,0.1
new_ocp,0.09989701338825953
n_train,1823.0
n_test,851.0
n_dims,13.0
mean_lat,47.31664532300728
mean_long,-122.49859853333223
std_lat,0.06795925137474836
std_long,0.28123980632827444
init_lengthscale,11.987376509330407
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,174.20136364576638
m,43.0
bic,-25.54845998035023
gp_runtime,283.0222864151001
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
