,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],9026.0
f_tdf.shape[0],9023.0
fc_tdf.shape[0],2627.0
fcu_tdf.shape[0],2543.0
curr_ocp,0.1386271870794078
target_ocp,0.1
new_ocp,0.09982905982905983
n_train,1527.0
n_test,593.0
n_dims,13.0
mean_lat,47.199832692062216
mean_long,-122.47174105378942
std_lat,0.03125862045527838
std_long,0.06353059557962148
init_lengthscale,14.375163826998689
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-350.25117851626555
m,43.0
bic,1015.7379501569324
gp_runtime,198.99272990226746
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
