,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,15.0
tdf.shape[0],9002.0
f_tdf.shape[0],8864.0
fc_tdf.shape[0],577.0
fcu_tdf.shape[0],567.0
curr_ocp,0.04090016074298982
target_ocp,0.031834287223281875
new_ocp,0.03179139131987855
n_train,385.0
n_test,113.0
n_dims,13.0
mean_lat,47.5799445970835
mean_long,-122.09186493226562
std_lat,0.055948351881810465
std_long,0.09872651337316385
init_lengthscale,109.34635416666667
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-544.5675647410221
m,23.0
bic,1226.0597261706632
gp_runtime,5.141053199768066
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999850941746
holt_smoothing_slope_lat,0.04844826846089226
holt_smoothing_level_lon,0.9999999850988385
holt_smoothing_slope_lon,0.019435105516616938
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8186159291678227
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850974661
es_smoothing_slope_lat,6.212343164111811e-14
es_smoothing_level_lon,0.9999999850988384
es_smoothing_slope_lon,0.03268609174577609
es_damping_slope_lat,0.8526022188603187
es_damping_slope_lon,0.8163369452042938
arima_order,"(1, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
