,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],13694.0
f_tdf.shape[0],13566.0
fc_tdf.shape[0],1775.0
fcu_tdf.shape[0],1770.0
curr_ocp,0.10278372591006424
target_ocp,0.1
new_ocp,0.09992862241256245
n_train,1446.0
n_test,26.0
n_dims,13.0
mean_lat,47.92904243947364
mean_long,-122.19448323444564
std_lat,0.04464622825290292
std_long,0.04712006828609355
init_lengthscale,29.08546712802768
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1430.9261087425211
m,23.0
bic,3029.2130147475727
gp_runtime,37.33345699310303
ses_smoothing_level,0.9999999850672846
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.3777077589306498
holt_smoothing_level_lon,0.9999999850988381
holt_smoothing_slope_lon,0.3561038812192124
holt_damping_slope_lat,0.8000000000000924
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850987126
es_smoothing_slope_lat,0.3726098925631442
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.3464561554684128
es_damping_slope_lat,0.8000000000000688
es_damping_slope_lon,0.8000000000000035
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
