,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],11451.0
f_tdf.shape[0],11403.0
fc_tdf.shape[0],2275.0
fcu_tdf.shape[0],2275.0
curr_ocp,0.0657062543921293
target_ocp,0.030999874841047416
new_ocp,0.02965344765987853
n_train,873.0
n_test,966.0
n_dims,13.0
mean_lat,47.11794787208116
mean_long,-122.35847217950135
std_lat,0.03777005672535475
std_long,0.06524570853976915
init_lengthscale,48.14162844036697
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-993.2909572712438
m,23.0
bic,2142.3364323267983
gp_runtime,6.887478828430176
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999850988378
holt_smoothing_slope_lat,0.11568939148377938
holt_smoothing_level_lon,0.9999999850984086
holt_smoothing_slope_lon,1.1978897338525585e-13
holt_damping_slope_lat,0.8000000000000007
holt_damping_slope_lon,0.8603362713560091
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.12101539931703462
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8000000000009144
es_damping_slope_lon,0.8583702020805749
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
