,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],9546.0
f_tdf.shape[0],9089.0
fc_tdf.shape[0],3725.0
fcu_tdf.shape[0],3720.0
curr_ocp,0.16695834791739586
target_ocp,0.1
new_ocp,0.09985984583041345
n_train,1904.0
n_test,1201.0
n_dims,13.0
mean_lat,47.572873503539775
mean_long,-122.03264365528524
std_lat,0.08788168159778537
std_long,0.12020623389183488
init_lengthscale,22.49001576458224
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2680.0695699051194
m,23.0
bic,5533.828520763319
gp_runtime,63.68133616447449
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999850988377
holt_smoothing_slope_lat,0.23107832355507127
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.9731867503801542
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.23332882202273988
es_smoothing_level_lon,0.9999999850479477
es_smoothing_slope_lon,3.665911890907468e-11
es_damping_slope_lat,0.8000000000000003
es_damping_slope_lon,0.9729964894567461
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
