,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],5328.0
f_tdf.shape[0],5180.0
fc_tdf.shape[0],1320.0
fcu_tdf.shape[0],1299.0
curr_ocp,0.07457983193277311
target_ocp,0.03362402915980934
new_ocp,0.03352152434721242
n_train,421.0
n_test,576.0
n_dims,13.0
mean_lat,46.994719095592714
mean_long,-122.39786991882421
std_lat,0.11768888988571063
std_long,0.25319218056778214
init_lengthscale,101.19761904761904
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-391.00292003938307
m,23.0
bic,920.9863952534608
gp_runtime,2.4311282634735107
ses_smoothing_level,0.9039967177210004
holt_smoothing_level_lat,0.9054681155915705
holt_smoothing_slope_lat,2.5743493402551038e-11
holt_smoothing_level_lon,0.9302704919349291
holt_smoothing_slope_lon,1.8216869546458653e-14
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.800000000000078
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9225663355902286
es_smoothing_slope_lat,3.542490786072082e-12
es_smoothing_level_lon,0.9354828193127904
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8
es_damping_slope_lon,0.8
arima_order,"(1, 0, 0)"
sarimax_order,
sarimax_seasonal_order,
