,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],1437.0
f_tdf.shape[0],1427.0
fc_tdf.shape[0],445.0
fcu_tdf.shape[0],445.0
curr_ocp,0.16556291390728478
target_ocp,0.1
new_ocp,0.09933774834437085
n_train,231.0
n_test,106.0
n_dims,10.0
mean_lat,47.19414236125541
mean_long,-122.3338042030303
std_lat,0.06326957727869228
std_long,0.06774559569389874
init_lengthscale,9.791304347826086
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-293.06542962809567
m,20.0
bic,694.9792134666272
gp_runtime,2.3976407051086426
ses_smoothing_level,0.9999999850988357
holt_smoothing_level_lat,0.92617365952635
holt_smoothing_slope_lat,0.2269853195840847
holt_smoothing_level_lon,0.9999999850988386
holt_smoothing_slope_lon,0.18405779855744683
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988385
es_smoothing_slope_lat,0.17141559635651868
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8
es_damping_slope_lon,0.9839946248522645
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
