,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],5107.0
f_tdf.shape[0],5103.0
fc_tdf.shape[0],3693.0
fcu_tdf.shape[0],1638.0
curr_ocp,0.6518518518518519
target_ocp,0.5
new_ocp,0.4996628455832771
n_train,1125.0
n_test,513.0
n_dims,13.0
mean_lat,47.899413734179554
mean_long,-122.22746509936007
std_lat,0.027643469249161914
std_long,0.013131349975770003
init_lengthscale,19.787811387900355
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-777.0909437961964
m,43.0
bic,1856.280035121849
gp_runtime,117.33003783226013
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
