,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],6664.0
f_tdf.shape[0],6605.0
fc_tdf.shape[0],692.0
fcu_tdf.shape[0],692.0
curr_ocp,0.08184319119669876
target_ocp,0.012204040851395388
new_ocp,0.010687022900763359
n_train,56.0
n_test,516.0
n_dims,13.0
mean_lat,47.92596649021258
mean_long,-122.20497118952635
std_lat,0.033904630689772536
std_long,0.026836806880736027
init_lengthscale,357.04545454545456
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-3.714973335188432
m,43.0
bic,180.5200693719883
gp_runtime,3.1299495697021484
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
