,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],5627.0
f_tdf.shape[0],5599.0
fc_tdf.shape[0],1929.0
fcu_tdf.shape[0],1929.0
curr_ocp,0.15827338129496402
target_ocp,0.1
new_ocp,0.09927611168562564
n_train,969.0
n_test,568.0
n_dims,13.0
mean_lat,48.18812679729758
mean_long,-122.18131519765666
std_lat,0.08843382682723595
std_long,0.051016474507596506
init_lengthscale,14.983987603305785
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-63.139110530666365
m,43.0
bic,421.9575993726357
gp_runtime,84.38931465148926
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
