,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],3170.0
f_tdf.shape[0],3050.0
fc_tdf.shape[0],831.0
fcu_tdf.shape[0],819.0
curr_ocp,0.125
target_ocp,0.1
new_ocp,0.1
n_train,565.0
n_test,147.0
n_dims,13.0
mean_lat,47.584471552379625
mean_long,-122.32110704453905
std_lat,0.04631773497657132
std_long,0.03750980639313141
init_lengthscale,38.29698581560284
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-223.76184555673478
m,43.0
bic,720.0071975527666
gp_runtime,30.49408268928528
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
