,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],10299.0
f_tdf.shape[0],10193.0
fc_tdf.shape[0],3014.0
fcu_tdf.shape[0],2976.0
curr_ocp,0.11909722222222222
target_ocp,0.1
new_ocp,0.1
n_train,2090.0
n_test,404.0
n_dims,13.0
mean_lat,47.74599874191123
mean_long,-122.30577605357824
std_lat,0.06275608039628762
std_long,0.06531711664308511
init_lengthscale,20.677118238391575
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2953.683930680266
m,23.0
bic,6083.201006294586
gp_runtime,116.68893194198608
ses_smoothing_level,0.9999999850973896
holt_smoothing_level_lat,0.9999999850988275
holt_smoothing_slope_lat,0.26463012053815643
holt_smoothing_level_lon,0.9999999850988331
holt_smoothing_slope_lon,0.2773195174035174
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850804785
es_smoothing_slope_lat,0.2657968204642867
es_smoothing_level_lon,0.9999999850988386
es_smoothing_slope_lon,0.28135703413654267
es_damping_slope_lat,0.8000000000277185
es_damping_slope_lon,0.8000000000000008
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
