,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,30.0
tdf.shape[0],19685.0
f_tdf.shape[0],19599.0
fc_tdf.shape[0],5631.0
fcu_tdf.shape[0],5370.0
curr_ocp,0.22335203366058906
target_ocp,0.1
new_ocp,0.09985935302390998
n_train,1831.0
n_test,2568.0
n_dims,13.0
mean_lat,47.22625869484284
mean_long,-122.45189816361359
std_lat,0.07460662759948004
std_long,0.0817053336185897
init_lengthscale,23.30983606557377
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2142.502166061588
m,23.0
bic,4457.79453565069
gp_runtime,46.96153903007507
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999797384258
holt_smoothing_slope_lat,0.03750585730736445
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.8000002028807669
holt_damping_slope_lon,0.9467460079523826
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988068
es_smoothing_slope_lat,0.039143838355157036
es_smoothing_level_lon,0.9999999850988122
es_smoothing_slope_lon,2.4000358208146453e-13
es_damping_slope_lat,0.8000000000002397
es_damping_slope_lon,0.8083827721685095
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
