,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],4735.0
f_tdf.shape[0],4497.0
fc_tdf.shape[0],820.0
fcu_tdf.shape[0],813.0
curr_ocp,0.37815126050420167
target_ocp,0.1
new_ocp,0.09663865546218488
n_train,205.0
n_test,491.0
n_dims,13.0
mean_lat,47.309361946744
mean_long,-122.42482840795537
std_lat,0.17628826755270624
std_long,0.0742047446268324
init_lengthscale,209.3235294117647
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-245.94551939991047
m,23.0
bic,614.3202683200043
gp_runtime,2.329075813293457
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9994116947707787
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.9777189794290746
holt_damping_slope_lon,0.995
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9993791026342416
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.038490352180832375
es_damping_slope_lat,0.9795146150255069
es_damping_slope_lon,0.8000000000064187
arima_order,"(0, 1, 0)"
sarimax_order,
sarimax_seasonal_order,
