,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],3018.0
f_tdf.shape[0],2980.0
fc_tdf.shape[0],246.0
fcu_tdf.shape[0],243.0
curr_ocp,0.15942028985507245
target_ocp,0.1
new_ocp,0.08888888888888889
n_train,65.0
n_test,113.0
n_dims,11.0
mean_lat,47.14196250153847
mean_long,-122.56305102692308
std_lat,0.0611536816325205
std_long,0.09900152965103963
init_lengthscale,126.1015625
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-63.9700357049435
m,21.0
bic,215.60220407769538
gp_runtime,1.1668217182159424
ses_smoothing_level,0.9808302212051462
holt_smoothing_level_lat,0.6907426471389408
holt_smoothing_slope_lat,0.412599863664683
holt_smoothing_level_lon,0.5860447611046284
holt_smoothing_slope_lon,0.37366106307616476
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.6568834630075852
es_smoothing_slope_lat,0.5127914282264606
es_smoothing_level_lon,0.6390793626279847
es_smoothing_slope_lon,0.12126092342967268
es_damping_slope_lat,0.8572591172131256
es_damping_slope_lon,0.9261054253309536
arima_order,"(1, 1, 2)"
sarimax_order,
sarimax_seasonal_order,
