,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],6022.0
f_tdf.shape[0],5946.0
fc_tdf.shape[0],262.0
fcu_tdf.shape[0],252.0
curr_ocp,0.12941176470588237
target_ocp,0.1
new_ocp,0.09411764705882353
n_train,149.0
n_test,41.0
n_dims,10.0
mean_lat,47.68791695074376
mean_long,-122.09029685112822
std_lat,0.11021291588329464
std_long,0.11450585655298699
init_lengthscale,103.04391891891892
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,104.03458495534011
m,37.0
bic,-22.923156590698227
gp_runtime,4.517888069152832
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
