,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],3597.0
f_tdf.shape[0],3526.0
fc_tdf.shape[0],985.0
fcu_tdf.shape[0],985.0
curr_ocp,0.32456140350877194
target_ocp,0.1
new_ocp,0.08823529411764706
n_train,164.0
n_test,635.0
n_dims,13.0
mean_lat,47.96979698208841
mean_long,-122.20083932674947
std_lat,0.10842411425960229
std_long,0.037400872905606675
init_lengthscale,75.0
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,78.16988325256938
m,43.0
bic,62.95448989130179
gp_runtime,7.275150775909424
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
