,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],4764.0
f_tdf.shape[0],4732.0
fc_tdf.shape[0],629.0
fcu_tdf.shape[0],629.0
curr_ocp,0.31958762886597936
target_ocp,0.1
new_ocp,0.09803921568627451
n_train,82.0
n_test,424.0
n_dims,12.0
mean_lat,47.07362113332817
mean_long,-122.41854689548398
std_lat,0.06892400173125701
std_long,0.10797302632501461
init_lengthscale,112.9320987654321
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,93.79642604114215
m,41.0
bic,-6.917362944449934
gp_runtime,5.530129671096802
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
