,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],5343.0
f_tdf.shape[0],5286.0
fc_tdf.shape[0],653.0
fcu_tdf.shape[0],622.0
curr_ocp,0.5901639344262295
target_ocp,0.2
new_ocp,0.19696969696969696
n_train,86.0
n_test,476.0
n_dims,13.0
mean_lat,47.58645806301326
mean_long,-122.22179737565861
std_lat,0.021584751992521183
std_long,0.01767609517915366
init_lengthscale,138.85882352941175
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-64.7511845194201
m,43.0
bic,321.039302777741
gp_runtime,2.7083444595336914
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
