,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],5895.0
f_tdf.shape[0],5815.0
fc_tdf.shape[0],373.0
fcu_tdf.shape[0],360.0
curr_ocp,0.13953488372093023
target_ocp,0.1
new_ocp,0.08870967741935484
n_train,149.0
n_test,166.0
n_dims,11.0
mean_lat,47.80303538759699
mean_long,-122.21685659747273
std_lat,0.06786863875238598
std_long,0.045260112675360634
init_lengthscale,150.6081081081081
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-210.46884091443457
m,21.0
bic,526.0205542537237
gp_runtime,0.9671082496643066
ses_smoothing_level,0.9681500406911625
holt_smoothing_level_lat,0.966954976288736
holt_smoothing_slope_lat,6.390987779705253e-14
holt_smoothing_level_lon,0.9999999850975744
holt_smoothing_slope_lon,5.6452984657121985e-12
holt_damping_slope_lat,0.9507238015109365
holt_damping_slope_lon,0.8891898997098115
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9823248101276971
es_smoothing_slope_lat,2.273943308713453e-14
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.06415711112198931
es_damping_slope_lat,0.9547479579792988
es_damping_slope_lon,0.8
arima_order,"(0, 1, 0)"
sarimax_order,
sarimax_seasonal_order,
