,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],5547.0
f_tdf.shape[0],5441.0
fc_tdf.shape[0],2450.0
fcu_tdf.shape[0],2257.0
curr_ocp,0.5365853658536586
target_ocp,0.3
new_ocp,0.29508196721311475
n_train,911.0
n_test,997.0
n_dims,13.0
mean_lat,47.586078544892935
mean_long,-122.11646187066711
std_lat,0.0476184834943492
std_long,0.07804713604860487
init_lengthscale,23.984615384615385
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-425.6594606473898
m,43.0
bic,1144.3442658769577
gp_runtime,75.86039757728577
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
