,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],6751.0
f_tdf.shape[0],6746.0
fc_tdf.shape[0],2127.0
fcu_tdf.shape[0],2116.0
curr_ocp,0.6754385964912281
target_ocp,0.1
new_ocp,0.0958904109589041
n_train,114.0
n_test,1646.0
n_dims,13.0
mean_lat,47.43275288929079
mean_long,-122.32119671405309
std_lat,0.03992096934452583
std_long,0.021253688146056732
init_lengthscale,116.2566371681416
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-6.440048944996221
m,43.0
bic,216.53663117095576
gp_runtime,5.011857271194458
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
